City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
180,Sao Miguel Do Araguaia,BR,86.16,-13.28,-50.16,Hotel Executivo Palace
181,Powell River,CA,64.4,49.85,-124.54,Rodmay Hotel
182,Tessalit,ML,106.38,20.2,1.01,
183,Parangan,PH,83.7,5.08,119.94,
184,Jaru,BR,85.78,-10.44,-62.47,Hotel Paraná
185,Avarua,CK,69.8,-21.21,-159.78,Paradise Inn
186,Nampula,MZ,63.79,-15.12,39.27,Tacab Residencial
188,Mount Isa,AU,60.8,-20.73,139.5,ibis Styles Mt Isa Verona
190,Gorom-Gorom,BF,103.35,14.44,-0.24,Mairie de Rambo
191,Havre-Saint-Pierre,CA,75.2,50.23,-63.6,Auberge Niapiskau
195,Souillac,MU,71.6,-20.52,57.52,Bils' Villa
196,Bubaque,GW,82.04,11.28,-15.83,Casa Dora
197,Sangueya,GN,86.18,10.7,-14.37,
198,Taoudenni,ML,112.87,22.68,-3.98,
199,Fairbanks,US,68.0,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
200,Nhulunbuy,AU,77.65,-12.23,136.77,East Arnhem Real Estate
202,Berkak,NO,71.08,62.83,10.01,Sande House and Cottages AS Trøndelag
205,Caucaia,BR,86.0,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
207,Sao Filipe,CV,82.54,14.9,-24.5,Tortuga B&B
208,Bac Lieu,VN,82.24,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
209,Lagoa,PT,65.12,39.05,-27.98,Casa Das Faias
210,Kupang,ID,76.33,-10.17,123.58,Sylvia Hotel Premier Kupang
211,Beloha,MG,63.79,-25.17,45.05,
212,Hithadhoo,MV,84.63,-0.6,73.08,Scoop Guest House
213,Karratha,AU,70.09,-20.74,116.85,ibis Styles Karratha
215,Ormara,PK,84.67,25.21,64.64,
216,North Bend,US,73.99,43.41,-124.22,Red Lion Hotel Coos Bay
217,Bathsheba,BB,87.8,13.22,-59.52,Atlantis Hotel
218,Esmeralda,CU,87.8,21.85,-78.12,campismo las palmas
219,Kalabo,ZM,60.91,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
220,Arona,ES,75.2,28.1,-16.68,Paradise Court
222,The Valley,AI,89.6,18.22,-63.06,CeBlue Villas & Beach Resort
223,Faya,SA,75.2,18.39,42.45,مقبرة ال مجمل
226,Norman Wells,CA,71.6,65.28,-126.83,Heritage Hotel
228,Nikolskoye,RU,68.0,59.7,30.79,Tourist House - Sablino
229,Akdepe,TM,78.8,42.06,59.38,Мой дом
