City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,Alice Springs,-23.7,133.88,59.0,28,0,5.82,AU,2020-06-18 01:35:44
195,Thompson,55.74,-97.86,41.0,93,90,18.34,CA,2020-06-18 01:33:07
196,Mairi,-11.71,-40.15,65.05,97,38,4.74,BR,2020-06-18 01:36:59
197,Berlevag,70.86,29.09,48.87,70,89,7.54,NO,2020-06-18 01:33:11
198,Tiksi,71.69,128.87,56.32,53,80,6.87,RU,2020-06-18 01:37:00
199,Aykhal,66.0,111.5,64.4,36,77,6.71,RU,2020-06-18 01:37:00
200,Sulangan,11.14,123.72,84.34,71,100,4.25,PH,2020-06-18 01:37:00
201,Pangkalanbuun,-2.68,111.62,84.49,74,35,4.41,ID,2020-06-18 01:37:00
202,Snezhnogorsk,69.19,33.25,48.2,70,62,4.47,RU,2020-06-18 01:37:00
203,Leningradskiy,69.38,178.42,52.0,49,100,9.84,RU,2020-06-18 01:37:01
204,Pangnirtung,66.15,-65.71,35.65,83,57,1.95,CA,2020-06-18 01:37:01
205,Nuuk,64.18,-51.72,39.0,81,82,1.99,GL,2020-06-18 01:33:45
206,Fort-Shevchenko,44.51,50.26,79.16,30,99,14.14,KZ,2020-06-18 01:37:01
207,Mayumba,-3.43,10.66,71.87,90,64,0.81,GA,2020-06-18 01:37:02
208,Marakkanam,12.2,79.95,87.26,61,100,8.41,IN,2020-06-18 01:37:02
209,Souillac,-20.52,57.52,69.8,83,75,18.34,MU,2020-06-18 01:37:02
210,Kayerkan,69.35,87.76,42.8,56,100,4.47,RU,2020-06-18 01:37:02
211,Tadepallegudem,16.83,81.5,79.81,87,100,5.61,IN,2020-06-18 01:37:03
212,Madison,34.73,-86.57,71.6,68,75,3.36,US,2020-06-18 01:32:41
213,Starokorsunskaya,45.06,39.32,66.99,93,0,4.47,RU,2020-06-18 01:37:03
214,Sheopur,25.67,76.7,95.34,35,70,15.43,IN,2020-06-18 01:36:38
215,Fortuna,40.6,-124.16,62.01,77,1,19.46,US,2020-06-18 01:37:04
216,Victoria,22.29,114.16,87.01,66,4,13.0,HK,2020-06-18 01:36:13
217,Kavieng,-2.57,150.8,85.86,65,19,6.73,PG,2020-06-18 01:37:04
218,Dhidhdhoo,6.88,73.1,84.38,79,100,15.19,MV,2020-06-18 01:37:04
219,Laguna,38.42,-121.42,89.6,15,1,13.87,US,2020-06-18 01:35:24
220,Nishihara,26.18,127.76,86.0,74,75,17.22,JP,2020-06-18 01:37:05
221,Poptun,16.33,-89.42,70.03,94,100,2.35,GT,2020-06-18 01:37:05
222,Bambous Virieux,-20.34,57.76,69.8,83,75,18.34,MU,2020-06-18 01:33:12
223,La Palma,33.85,-118.05,73.99,56,1,5.82,US,2020-06-18 01:36:58
224,Sioux Lookout,50.1,-91.92,86.0,45,20,10.29,CA,2020-06-18 01:37:06
225,Chokurdakh,70.63,147.92,86.59,22,0,11.36,RU,2020-06-18 01:37:06
226,Rezekne,56.5,27.32,61.74,91,0,5.84,LV,2020-06-18 01:37:06
227,Wainwright,52.84,-110.86,51.28,81,100,8.41,CA,2020-06-18 01:37:07
228,Egvekinot,66.32,-179.17,60.31,36,23,2.55,RU,2020-06-18 01:37:00
229,Fenoarivo,-18.93,47.44,50.0,76,75,11.41,MG,2020-06-18 01:37:07
230,Sept-Iles,50.2,-66.38,71.6,68,75,5.82,CA,2020-06-18 01:37:08
231,Ahuimanu,21.44,-157.84,96.8,39,40,12.75,US,2020-06-18 01:37:08
232,Norman Wells,65.28,-126.83,86.0,23,75,8.05,CA,2020-06-18 01:33:22
233,Westport,41.14,-73.36,68.0,88,40,8.05,US,2020-06-18 01:37:06
234,Pauini,-7.71,-66.98,75.13,69,0,0.4,BR,2020-06-18 01:37:09
235,Kosa,59.94,55.0,46.54,61,13,5.17,RU,2020-06-18 01:37:09
236,Indramayu,-6.33,108.32,83.28,71,90,7.0,ID,2020-06-18 01:37:09
237,Deniliquin,-35.53,144.97,55.0,78,2,12.03,AU,2020-06-18 01:37:09
238,Gomel,52.43,30.98,66.2,77,75,6.71,BY,2020-06-18 01:37:09
239,Walvis Bay,-22.96,14.51,75.2,26,0,18.34,NA,2020-06-18 01:33:33
240,Enkoping,59.64,17.08,55.0,93,0,1.39,SE,2020-06-18 01:37:10
241,Port Moresby,-9.44,147.18,84.2,74,40,13.27,PG,2020-06-18 01:32:37
242,La Ronge,55.1,-105.28,50.0,71,90,20.8,CA,2020-06-18 01:37:10
243,Victor Harbor,-35.57,138.62,57.99,78,36,13.27,AU,2020-06-18 01:37:11
244,Fairbanks,64.84,-147.72,77.0,27,20,12.75,US,2020-06-18 01:37:11
245,Saint George,37.1,-113.58,89.6,14,1,12.75,US,2020-06-18 01:37:11
246,Cayenne,4.93,-52.33,75.2,100,99,5.93,GF,2020-06-18 01:35:59
247,Puerto Palomas,31.77,-107.62,93.2,8,1,20.8,MX,2020-06-18 01:37:12
248,Chara,56.91,118.26,53.92,78,100,1.79,RU,2020-06-18 01:37:12
249,Marienburg,54.04,19.03,61.0,77,70,8.05,PL,2020-06-18 01:37:12
250,Phalombe,-15.81,35.65,55.02,93,35,3.31,MW,2020-06-18 01:37:13
251,Mount Isa,-20.73,139.5,77.0,44,0,16.11,AU,2020-06-18 01:32:55
252,Sinnamary,5.38,-52.95,78.51,86,100,6.15,GF,2020-06-18 01:37:13
253,Neuquen,-38.95,-68.06,44.6,70,19,5.82,AR,2020-06-18 01:37:13
254,Bluefield,37.27,-81.22,55.99,100,90,1.48,US,2020-06-18 01:33:07
255,Brownsville,25.9,-97.5,84.2,70,20,13.87,US,2020-06-18 01:37:15
256,Mamedkala,42.17,48.12,71.92,57,100,1.72,RU,2020-06-18 01:37:15
257,Champerico,14.3,-91.92,80.8,75,100,5.17,GT,2020-06-18 01:37:15
258,Ancud,-41.87,-73.82,50.0,93,90,18.34,CL,2020-06-18 01:33:11
259,Burhaniye,39.5,26.97,66.2,77,20,3.36,TR,2020-06-18 01:37:16
260,Eskil,38.4,33.41,63.36,50,0,5.82,TR,2020-06-18 01:37:16
261,Cururupu,-1.83,-44.87,73.81,95,25,1.72,BR,2020-06-18 01:37:16
262,Springbok,-29.66,17.89,51.98,50,0,23.42,ZA,2020-06-18 01:37:16
263,Simao,22.79,100.97,70.39,91,100,2.8,CN,2020-06-18 01:37:17
264,Maldonado,-34.67,-54.92,70.0,82,90,17.22,UY,2020-06-18 01:37:17
265,Faya,18.39,42.45,75.2,30,95,8.77,SA,2020-06-18 01:37:17
266,Teya,60.38,92.63,66.02,35,0,8.52,RU,2020-06-18 01:37:17
267,Vestmannaeyjar,63.44,-20.27,48.56,81,100,20.62,IS,2020-06-18 01:33:29
268,Halifax,44.65,-63.57,62.01,80,70,7.47,CA,2020-06-18 01:35:48
269,Ambilobe,-13.2,49.05,62.26,60,0,3.33,MG,2020-06-18 01:37:18
270,Margate,51.38,1.39,59.0,96,100,4.83,GB,2020-06-18 01:37:13
271,Zhanaozen,43.3,52.8,74.39,22,41,9.48,KZ,2020-06-18 01:37:18
272,Kamnik,46.23,14.61,57.99,100,30,2.82,SI,2020-06-18 01:37:19
273,Morehead,37.27,-87.18,75.2,73,1,3.15,US,2020-06-18 01:37:19
274,Quesnel,53.0,-122.5,73.4,31,1,4.7,CA,2020-06-18 01:37:19
275,Ulladulla,-35.35,150.47,62.6,55,40,3.36,AU,2020-06-18 01:37:20
276,Miquelon,47.1,-56.38,51.39,84,100,14.99,PM,2020-06-18 01:37:20
277,Muli,2.92,73.57,83.35,77,59,4.29,MV,2020-06-18 01:33:52
278,Southwick,42.05,-72.77,73.4,60,1,9.17,US,2020-06-18 01:37:20
279,Korla,41.76,86.15,82.53,19,29,7.67,CN,2020-06-18 01:37:21
280,Vanimo,-2.67,141.3,86.14,64,13,5.82,PG,2020-06-18 01:37:21
281,Le Port,-20.94,55.29,68.0,72,6,20.8,RE,2020-06-18 01:37:21
282,Ribeira Grande,38.52,-28.7,63.1,78,94,8.59,PT,2020-06-18 01:37:21
283,Russell,32.35,-85.2,75.2,83,75,3.36,US,2020-06-18 01:32:55
284,San Cristobal,7.77,-72.22,66.63,92,18,2.48,VE,2020-06-18 01:35:23
285,Ilo,-17.64,-71.34,63.79,78,52,10.45,PE,2020-06-18 01:37:22
286,Haines Junction,60.75,-137.51,59.88,47,91,10.98,CA,2020-06-18 01:33:03
287,Manzhouli,49.6,117.43,72.12,50,37,1.99,CN,2020-06-18 01:37:23
288,Xai-Xai,-25.05,33.64,63.3,88,68,2.42,MZ,2020-06-18 01:37:23
289,Guerrero Negro,27.98,-114.06,65.82,75,0,17.96,MX,2020-06-18 01:37:23
290,Tokur,53.13,132.9,53.01,58,85,5.17,RU,2020-06-18 01:37:24
291,Comodoro Rivadavia,-45.87,-67.5,50.0,61,47,9.17,AR,2020-06-18 01:37:24
292,Moose Factory,51.26,-80.61,89.6,35,1,12.75,CA,2020-06-18 01:37:24
293,Codrington,-38.27,141.97,57.33,66,99,17.22,AU,2020-06-18 01:33:03
294,Takab,36.4,47.11,55.4,38,0,1.86,IR,2020-06-18 01:37:24
295,Aksu,41.12,80.26,79.14,25,100,9.84,CN,2020-06-18 01:37:25
296,Tweed,44.48,-77.32,66.99,78,0,2.91,CA,2020-06-18 01:37:25
297,Kedrovka,55.53,86.05,60.8,63,98,4.47,RU,2020-06-18 01:37:25
298,Byron Bay,-28.65,153.62,68.0,72,90,17.22,AU,2020-06-18 01:37:25
299,Bardiyah,31.76,25.09,68.38,84,0,13.49,LY,2020-06-18 01:37:26
300,Marrakesh,31.63,-8.01,68.0,68,0,9.17,MA,2020-06-18 01:36:36
301,Libreville,0.39,9.45,77.0,83,20,6.93,GA,2020-06-18 01:37:26
302,Kontagora,10.4,5.47,70.92,89,100,7.45,NG,2020-06-18 01:37:26
303,Prince George,53.92,-122.75,70.0,32,1,4.7,CA,2020-06-18 01:37:26
